run_id,timestamp,input_type,final_state,seats_participated,veto_used,escalation_triggered,rollback_executed,archive_executed,terminate_executed,risk_raised_count,authority_violation,fake_closure,tokens_used,wall_clock_seconds,human_intervention,finalized
meeting_endurance_1773973105_16,2026-03-20T02:18:25.723638287+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773850675,2026-03-18T16:17:55.807674179+00:00,code_review,Archived,0,Yuheng,false,false,true,false,0,false,false,0,430,false,true
endurance-1773848297,2026-03-18T15:38:17.427590817+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,443,false,true
meeting_endurance_1773974684_40,2026-03-20T02:44:44.673305993+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773972232_3,2026-03-20T02:03:52.074206224+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975108_46,2026-03-20T02:51:48.921917591+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773972256_4,2026-03-20T02:04:16.768245094+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773852667,2026-03-18T16:51:07.479055586+00:00,architecture,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773973833_27,2026-03-20T02:30:33.774459880+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975261_48,2026-03-20T02:54:21.811755198+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773978479_96,2026-03-20T03:47:59.335683726+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773974164_32,2026-03-20T02:36:04.468520774+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773972747_11,2026-03-20T02:12:27.098533053+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773978730_100,2026-03-20T03:52:10.121806570+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773979666_116,2026-03-20T04:07:46.366605824+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773856712,2026-03-18T17:58:32.206962794+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,442,false,true
meeting_endurance_1773972553_8,2026-03-20T02:09:13.211972279+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773981046_140,2026-03-20T04:30:46.294914740+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975938_56,2026-03-20T03:05:38.284699408+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773974722_41,2026-03-20T02:45:22.140642361+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773980380_129,2026-03-20T04:19:40.747089475+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975351_50,2026-03-20T02:55:51.233415390+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975330_49,2026-03-20T02:55:31.021745283+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773972432_6,2026-03-20T02:07:12.570904887+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773847164,2026-03-18T15:19:24.241944149+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,363,false,true
endurance-1773844767,2026-03-18T14:39:27.596298999+00:00,conflict,Archived,0,,false,false,true,false,0,false,false,0,275,false,true
endurance-1773851547,2026-03-18T16:32:27.248219116+00:00,conflict,Archived,0,,false,false,true,false,0,false,false,0,226,false,true
meeting_endurance_1773980839_137,2026-03-20T04:27:19.450921952+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
phase2a3-veto-1773772803,2026-03-17T18:40:03.468331235+00:00,conflict_test,Archived,0,Yuheng,false,false,true,false,0,false,false,0,92,false,true
meeting_endurance_1773977338_79,2026-03-20T03:28:58.890679285+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773845883,2026-03-18T14:58:03.888446898+00:00,code_review,Archived,0,Yuheng,false,false,true,false,0,false,false,0,249,false,true
meeting_endurance_1773972099_0,2026-03-20T02:01:39.888012459+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773976635_68,2026-03-20T03:17:15.172837692+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773844332,2026-03-18T14:32:12.585842006+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,212,false,true
phase2a2-dual-model-1773764703,2026-03-17T16:25:03.509174998+00:00,code_fix,Archived,0,,false,false,true,false,0,false,false,0,174,false,true
meeting_endurance_1773980557_132,2026-03-20T04:22:37.096995318+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773977295_78,2026-03-20T03:28:15.687300584+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773980479_131,2026-03-20T04:21:19.841764959+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773980045_122,2026-03-20T04:14:05.930234591+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975407_51,2026-03-20T02:56:47.449896898+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773975533_53,2026-03-20T02:58:53.350747077+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773974765_42,2026-03-20T02:46:05.595043843+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773976478_65,2026-03-20T03:14:38.622985094+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773849060,2026-03-18T15:51:00.718619415+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,156,false,true
endurance-1773856378,2026-03-18T17:52:58.081692388+00:00,conflict,Archived,0,,false,false,true,false,0,false,false,0,266,false,true
endurance-1773855651,2026-03-18T17:40:51.963487238+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,413,false,true
meeting_endurance_1773975045_45,2026-03-20T02:50:45.526662009+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773976799_71,2026-03-20T03:19:59.493822394+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773973144_17,2026-03-20T02:19:04.905423188+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773976874_72,2026-03-20T03:21:14.738869601+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773978203_92,2026-03-20T03:43:23.521719313+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773974343_34,2026-03-20T02:39:03.189403016+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773856043,2026-03-18T17:47:23.216265334+00:00,conflict,Archived,0,,false,false,true,false,0,false,false,0,379,false,true
meeting_endurance_1773974389_35,2026-03-20T02:39:49.774651227+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773976504_66,2026-03-20T03:15:04.302980690+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773979184_108,2026-03-20T03:59:44.279923673+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773972613_9,2026-03-20T02:10:13.520415335+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773842765,2026-03-18T14:06:05.699860713+00:00,code_review,Archived,0,,false,false,true,false,0,false,false,0,510,false,true
meeting_endurance_1773980216_125,2026-03-20T04:16:56.509384846+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773979452_112,2026-03-20T04:04:12.307063976+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773977985_89,2026-03-20T03:39:45.212505531+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773980884_138,2026-03-20T04:28:04.506746965+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
endurance-1773845140,2026-03-18T14:45:40.512534712+00:00,conflict,Archived,0,,false,false,true,false,0,false,false,0,307,false,true
meeting_endurance_1773975585_54,2026-03-20T02:59:45.250426503+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773980141_124,2026-03-20T04:15:41.659106406+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
meeting_endurance_1773979556_114,2026-03-20T04:05:56.922225410+00:00,general,Pending,0,,false,false,false,false,0,false,false,0,0,false,false
